customer_id,product_id,basket_date,basket_count
9798859,41475073,2019-06-19,2
11413563,43279538,2019-06-19,2
818195,44747002,2019-06-19,2
12049009,33739394,2019-06-19,2
10083045,46000191,2019-06-19,2
11248447,46881033,2019-06-19,2
819721,44752779,2019-06-19,2
4713723,41882886,2019-06-19,2
11141669,8670770,2019-06-19,6
10844015,33914921,2019-06-19,2
5012539,46026447,2019-06-19,2
11351893,3632762,2019-06-19,2
4815027,33218001,2019-06-19,2
11320883,5941180,2019-06-18,2
4306642,34631629,2019-06-18,2
10387447,46675683,2019-06-18,2
831271,33276794,2019-06-18,2
10373559,7445901,2019-06-18,2
11350661,39475547,2019-06-18,2
12030403,42402177,2019-06-18,2
11884019,39058017,2019-06-18,3
10991309,43864701,2019-06-18,2
10880401,32356464,2019-06-18,2
11328737,47007182,2019-06-18,2
10395444,35420610,2019-06-17,2
12282545,42522846,2019-06-17,2
593411,43812675,2019-06-17,2
844249,48333960,2019-06-17,2
12417929,42478659,2019-06-17,2
10284169,1197926,2019-06-17,2
11073237,37145767,2019-06-17,2
11158301,37720451,2019-06-17,2
10189011,38221381,2019-06-17,2
10205839,4131698,2019-06-17,2
9485175,43357885,2019-06-17,2
5267955,33028204,2019-06-17,2
9421181,51605574,2019-06-17,2
10862663,50615765,2019-06-17,2
10176271,40276068,2019-06-17,2
4754393,6568127,2019-06-17,2
8904609,46455283,2019-06-17,2
11158413,34366102,2019-06-17,2
10055269,40220752,2019-06-17,2
11769275,6844409,2019-06-17,2
11474477,2129027,2019-06-17,2
8015317,47608896,2019-06-17,2
10597419,38963117,2019-06-17,2
10717273,50416775,2019-06-17,2
8209943,47019441,2019-06-17,2
12150957,47122587,2019-06-17,2
10905489,31508759,2019-06-18,2
10599729,37621862,2019-06-18,2
10597671,47007182,2019-06-17,2
860990,34944273,2019-06-17,2
11622037,44263141,2019-06-17,2
8768879,49953830,2019-06-17,2
8686965,31294046,2019-06-17,2
12324641,40276011,2019-06-17,2
4327911,49817430,2019-06-17,2
4690133,32556376,2019-06-17,2
12278147,35008370,2019-06-17,2
11896087,50041873,2019-06-17,2
9585247,48346739,2019-06-17,2
4291119,33712748,2019-06-17,2
12389433,1068944,2019-06-17,2
12180511,46500920,2019-06-16,3
11009271,6259159,2019-06-16,2
11887183,33875067,2019-06-16,2
10054681,32942036,2019-06-16,2
